title,date,content,rating
Perfect all-round effective toothpaste!,13th June 2021,"Colgate Total Original toothpaste is a fantastic toothpaste for all round oral health. I found the taste pleasant but what is the most noticeably unique aspect of this toothpaste is the foaming/gel-like consistency in the mouth when brushing. It felt like the toothpaste cleaned my teeth, cheeks, hims and tongue well and mouth was left feeling refreshed. The size of the toothpaste is very generous and see it lasting a long time. I felt confident when using the toothpaste and it lives up to its claims of a full-mouth clean. If I had to say anything negative it would be the lasting effects, I would like the fresh taste for a little longer but that really isn't a game-changer, I feel very positive about the toothpaste.",4 stars
Colgate Total Whitening Toothpaste,13th June 2021,"Good solid whitening toothpaste. I really appreciated the flavour and texture of this toothpaste - often there's a funny texture or aftertaste to some of the whitening products I've previously tried. This Colgate Total Whitening Toothpaste was very pleasant in comparison. Stronger than a spearmint but not as harsh as peppermint, and I didn't notice any grainy bits. I've not had it long enough to test their 4 week claim to see a difference in whitening, but it has done a good job with the small amount of staining on one of my teeth. I will certainly continue to use and will be happy if it continues to perform as it has so far.",4 stars
Colgate Total Whitening Toothpaste,13th June 2021,"Good solid whitening toothpaste. I really appreciated the flavour and texture of this toothpaste - often there's a funny texture or aftertaste to some of the whitening products I've previously tried. This Colgate Total Whitening Toothpaste was very pleasant in comparison. Stronger than a spearmint but not as harsh as peppermint, and I didn't notice any grainy bits. I've not had it long enough to test their 4 week claim to see a difference in whitening, but it has done a good job with the small amount of staining on one of my teeth. I will certainly continue to use and will be happy if it continues to perform as it has so far.",4 stars
Colgate help fight with mouth bacterials,13th June 2021,"Colgate-Whole Mouth Health surprise Me. I didn't know that one toothpaste can protect from cavities, bad breath, staining, tartar, plaque. Help with gum problems, sensitive teeth and enamel. This toothpaste is amazing. It's really doing it job. My tooth are more white and healthy and I stop to have a problem with bad breath. It's really protect in 100% mouth, teeth, tongue and guns from all tape of bacterial. I'm changing my old toothpaste for colgate Total - Whole Mount Health.",5 stars
Thorough Cleaning Every Time,13th June 2021,Removes stains well from coffee and impressed with how clean my teeth felt!,4 stars
Toothpaste was just right for taste,13th June 2021,"The taste was not too intense or too weak was just right, only needed to use a little bit for maximum foam. Would recommend to a friend",4 stars
Worth the little extra,12th June 2021,I only ever buy Colgate for our house and usually stick to whichever one is on offer to be honest so I don't usually try the more expensive toothpastes in their range but I was really surprised at how good this toothpaste felt. Fresh but not gritty or overpowering it left me feeling fresh for hours. Would definitely but again.,5 stars
Worth the little extra,12th June 2021,I only ever buy Colgate for our house and usually stick to whichever one is on offer to be honest so I don't usually try the more expensive toothpastes in their range but I was really surprised at how good this toothpaste felt. Fresh but not gritty or overpowering it left me feeling fresh for hours. Would definitely but again.,5 stars
Great,12th June 2021,Collate total care original is my main go to toothpaste. Its not overly minty like some toothpastes can be but keeps my mouth clean and fresh,5 stars
Fab new toothpaste,12th June 2021,"Excellent minty taste and a light, almost frothy, formula. Really liked the colour too.",5 stars
Fab new toothpaste,12th June 2021,"Excellent minty taste and a light, almost frothy, formula. Really liked the colour too.",5 stars
Refreshing,11th June 2021,The packaging and tube looks fine and most importantly the lid is big and shaped in a way that it is easy to open and close without wasting paste leaking out like in earlier packaging. The paste is good and refreshing to brush with. Overall good. Will recommend.,4 stars
A decent performer,11th June 2021,"I usually use a different brand of toothpaste so was interested to see what this one was like. To start with the simple things, the tube itself is good. It has a large cap which is easy to ope. And close. Also unlike some large tubes of toothpaste you can stand this one vertically on the cap to take up less space in your cabinet. So, the product itself. It is a 'thick' toothpaste but this is a good thing. Some toothpaste are too runny and as soon as you put on the brush it is starting to run. With this I found that putting the desired amount on the brush it stayed in place. I then did my usual 30 seconds all round my teeth to give it an even spread. Again, because of the thickness the toothpaste stayed in place until I went back tot hat spot. The taste of the paste is good and fresh and I found it didn't 'drip ' down the brush like some others. The claimed benefits of this paste are very impressive and I have no reason to doubt them. It does keep my mouth fresh for most of the day.",5 stars
Good,11th June 2021,I tied this product when I couldn't get hold of my usual brand. I was really surprised at how fresh and clean my mouth felt when I brushed before bed after an earlier curry. I have since bought another tube and will continue to use this toothpaste.,5 stars
Colgate delivers on its promises,11th June 2021,"overall this is a great product, as one can expect from Colgate it does exactly what it promises to do, it whitened my teeth and made them feel and taste amazingly fresh. i would definitely buy this again",5 stars
Terrific total,11th June 2021,Wow loved this toothpaste Colgate is a firm favourite in my house and these was just so refreshing made my teeth feel perfect my breath fresh and i love how it's lasted so well it is a brand I highly recommend,5 stars
Great all-round toothpaste,11th June 2021,I found this toothpaste to meet the high standards I have come to expect from Colgate. It contains 1450ppm fluoride which is what I look for in a toothpaste as well as targeting a host of other whole mouth health benefits. The only thing it doesn't offer is whitening.,4 stars
Refreshing,11th June 2021,The packaging and tube looks fine and most importantly the lid is big and shaped in a way that it is easy to open and close without wasting paste leaking out like in earlier packaging. The paste is good and refreshing to brush with. Overall good. Will recommend.,4 stars
Fresh breath,11th June 2021,"It's a great toothpaste. It's fresh and I felt my teeth clean after using it. I haven't noticed my smile any whiter. Maybe after months of use, it can make a difference.",4 stars
Refreshing,11th June 2021,The packaging and tube looks fine and most importantly the lid is big and shaped in a way that it is easy to open and close without wasting paste leaking out like in earlier packaging. The paste is good and refreshing to brush with. Overall good. Will recommend.,4 stars
Great Results,11th June 2021,"Great value for money, can definitely see and fele the difference after a few days of using it. I will seriously consider switching to this toothpaste permanently.",4 stars
A pleasant toothpaste,11th June 2021,"Good size and like the free standing top, the paste foams well and does leave the mouth feeling clean. The taste and after taste is a bit tame but that's just my personal preference.",3 stars
"Great toothpaste, fresh taste.",10th June 2021,"Great toothpaste, leaves breath fresh and teeth feeling clean. As a heavy tea drinker it does not whiten teeth as well as I would have liked, but happy with the results.",4 stars
Good brand,10th June 2021,"his a my favourite tooth paste, it always makes my mouth and teeth look and feel totally clean.",4 stars
Mr Mio,10th June 2021,Thank you for that. Teeth pasta make my teeth's very refresh and clean. I like this product exactly enjoy every day when i clean with this teeth paste my teeth. Recommended to everyone.,5 stars
Fresh and Refreshing!,10th June 2021,"I have tried the Total Original Toothpaste over the last few days, and have found it to have a fresh and minty flavour. It has a slightly more intense flavour than my usual toothpaste, but it was not overpowering at all, it was very refreshing and cleansing. I would definitely purchase the Total Original Toothpaste again in the future!",5 stars
Squeaky clean,10th June 2021,"My whole mouth feels so fresh and squeaky clean after using the toothpaste, I love it",5 stars
Best toothpaste,10th June 2021,"I really enjoyed using this toothpaste, I've used several ones over the years and found this one to make my breath feel fresher for longer and my teeth felt great , I highly recommend this product I will now switch to this one from now on, one very happy reviewer 5***** from me",5 stars
Great toothpaste,10th June 2021,Its a one of the best toothpaste im was buying before and definitely from now,5 stars
Colgate Total Original Toothpaste,10th June 2021,Since recently starting using Colgate Total Original Toothpaste I can say how impressed I am with this product. Overall a great product which I will definitely be purchasing again in the future and one I would thoroughly recommend.,5 stars
A pleasure to brush my teeth,10th June 2021,"A real nice tasting toothpaste. Refreshing, but not overpowering in any way. A real pleasure to use. I am very surprised of the difference, compared to many other kinds.",5 stars
"Good Flavour, Long lasting",10th June 2021,I have always used Colgate toothpaste and this is definitely a flavour I would recommend. As with all Colgate toothpastes only a small amount required and the freshness lasts most of the day.,4 stars
My teeth are very white,10th June 2021,Received the toothpaste and used immediately twice a day. My mouth and teeth felt very clean as I expect from this brand. I would have preferred a stronger taste/flavour as it's very mellow. The only negative is that it's not a pump action toothpaste which I prefer. I think the tube ones are very messy.,4 stars
Best toothpaste,10th June 2021,"I really enjoyed using this toothpaste, I've used several ones over the years and found this one to make my breath feel fresher for longer and my teeth felt great , I highly recommend this product I will now switch to this one from now on, one very happy reviewer 5***** from me",5 stars
Good product!,10th June 2021,"Good, teeth are definitely whiter. I trust this brand",4 stars
Not minty but overall ok,10th June 2021,Good size to start off with. It does foam really nice. Not as minty as other tooth paste. Leaves your mouth feeling clean - mouth felt like it had a layer on it for a couple of hours after even on the tongue,4 stars
Squeaky clean,10th June 2021,"My whole mouth feels so fresh and squeaky clean after using the toothpaste, I love it",5 stars
My teeth are very white,10th June 2021,Received the toothpaste and used immediately twice a day. My mouth and teeth felt very clean as I expect from this brand. I would have preferred a stronger taste/flavour as it's very mellow. The only negative is that it's not a pump action toothpaste which I prefer. I think the tube ones are very messy.,4 stars
A pleasure to brush my teeth,10th June 2021,"A real nice tasting toothpaste. Refreshing, but not overpowering in any way. A real pleasure to use. I am very surprised of the difference, compared to many other kinds.",5 stars
Good brand,10th June 2021,"his a my favourite tooth paste, it always makes my mouth and teeth look and feel totally clean.",4 stars
fresh feeling,10th June 2021,i found that total whitening toothpaste made my teeth feel fresh and clean i have not seen any great whitening effect yet but its early days,5 stars
Great toothpaste,10th June 2021,Its a one of the best toothpaste im was buying before and definitely from now,5 stars
Nice But...,10th June 2021,"Cleans well, tastes nice but can't see any difference in the colour of my teeth.",4 stars
Best toothpaste,10th June 2021,"I really enjoyed using this toothpaste, I've used several ones over the years and found this one to make my breath feel fresher for longer and my teeth felt great , I highly recommend this product I will now switch to this one from now on, one very happy reviewer 5***** from me",5 stars
Good brand,10th June 2021,"his a my favourite tooth paste, it always makes my mouth and teeth look and feel totally clean.",4 stars
good clean,10th June 2021,Eye catching packaging. Leaves your mouth feeling wonderfully clean and fresh. I have only been using a few days so I haven't seen much whitening.,4 stars
Good choice,10th June 2021,Total Whitening Toothpaste was nice to try. My teeth felt clean all day and they seem to whiten after a few brushes. Would recommend the product.,4 stars
"Great toothpaste, fresh taste.",10th June 2021,"Great toothpaste, leaves breath fresh and teeth feeling clean. As a heavy tea drinker it does not whiten teeth as well as I would have liked, but happy with the results.",4 stars
Love this toothpaste,10th June 2021,The mint flavour has the perfect amount of strength. Leaves teeth and mouth feeling clean and fresh. Very nice to use.,5 stars
Colgate toothpaste,10th June 2021,I really enjoyed the taste of the toothpaste as well as how my teeth felt after using it. My breathe was also super fresh!,4 stars
Fresh and Refreshing!,10th June 2021,"I have tried the Total Original Toothpaste over the last few days, and have found it to have a fresh and minty flavour. It has a slightly more intense flavour than my usual toothpaste, but it was not overpowering at all, it was very refreshing and cleansing. I would definitely purchase the Total Original Toothpaste again in the future!",5 stars
Great toothpaste,10th June 2021,I found this toothpaste very refreshing and cleaned my teeth lovely,5 stars
Good choice,10th June 2021,Total Whitening Toothpaste was nice to try. My teeth felt clean all day and they seem to whiten after a few brushes. Would recommend the product.,4 stars
Mr Mio,10th June 2021,Thank you for that. Teeth pasta make my teeth's very refresh and clean. I like this product exactly enjoy every day when i clean with this teeth paste my teeth. Recommended to everyone.,5 stars
Fresh and Refreshing!,10th June 2021,"I have tried the Total Original Toothpaste over the last few days, and have found it to have a fresh and minty flavour. It has a slightly more intense flavour than my usual toothpaste, but it was not overpowering at all, it was very refreshing and cleansing. I would definitely purchase the Total Original Toothpaste again in the future!",5 stars
Squeaky clean,10th June 2021,"My whole mouth feels so fresh and squeaky clean after using the toothpaste, I love it",5 stars
A truly total toothpaste,9th June 2021,"A total toothpaste that covers all aspects of tooth care. Any benefit you want to get from a toothpaste this one does it. From cavities, plaque, problem gums,tartar, staining, enamel,bad breath even sensitive teeth and gyms. Whole mouth health in 1 tube. Reduces bacteria in teeth, tongue, cheeks & gums. Oh and if that's not enough leaves you mouth minty fresh after using.",5 stars
Total toothpaste,9th June 2021,"Loved this toothpaste, used for the whole family, felt fresh and clean.",5 stars
Whiter than white,9th June 2021,"Great toothpaste, great size, freshness all day, whiter shade after 3 brushes x",5 stars
Minty Fresh,9th June 2021,"Having used total whitening for a few days now I'm really impressed, it has a nice flavour, cleans teeth well and leaves a lasting clean feeling. Would definitely recommend.",4 stars
Wery good,9th June 2021,A very good paste refreshes the scent and does not irritate the gums,5 stars
One for all the family,9th June 2021,Fabulous !! Its great to be able to buy one toothpaste that fits the whole family... this addresses everyone's separate needs all in one glorious tube. 5 stars from us ⭐️⭐️⭐️⭐️⭐️,5 stars
Minty Fresh,9th June 2021,"Having used total whitening for a few days now I'm really impressed, it has a nice flavour, cleans teeth well and leaves a lasting clean feeling. Would definitely recommend.",4 stars
Wery good,9th June 2021,A very good paste refreshes the scent and does not irritate the gums,5 stars
One for all the family,9th June 2021,Fabulous !! Its great to be able to buy one toothpaste that fits the whole family... this addresses everyone's separate needs all in one glorious tube. 5 stars from us ⭐️⭐️⭐️⭐️⭐️,5 stars
A truly total toothpaste,9th June 2021,"A total toothpaste that covers all aspects of tooth care. Any benefit you want to get from a toothpaste this one does it. From cavities, plaque, problem gums,tartar, staining, enamel,bad breath even sensitive teeth and gyms. Whole mouth health in 1 tube. Reduces bacteria in teeth, tongue, cheeks & gums. Oh and if that's not enough leaves you mouth minty fresh after using.",5 stars
Totally Changed my Sile,9th June 2021,"I have been totally changed with this toothpaste never did I think that this could improve my teeth colour, making them look whiter and brighter,",5 stars
Minty fresh and clean,9th June 2021,Minty fresh taste without being overpowering. Leaving a good clean shine to teeth. Would recommend for Adukts and children.,4 stars
Good minty toothpaste,9th June 2021,I have tried out the Total Original Toothpaste last night and this morning. It had a pleasant minty smell upon opening and felt and tasted nice in my mouth. After cleaning my mouth felt fresh and clean. My teeth were smooth and felt very clean. Very good product.,5 stars
I loved!!!,9th June 2021,After a few days of testing my teeth are whiter and above all the gums do not bleeding.,5 stars
A truly total toothpaste,9th June 2021,"A total toothpaste that covers all aspects of tooth care. Any benefit you want to get from a toothpaste this one does it. From cavities, plaque, problem gums,tartar, staining, enamel,bad breath even sensitive teeth and gyms. Whole mouth health in 1 tube. Reduces bacteria in teeth, tongue, cheeks & gums. Oh and if that's not enough leaves you mouth minty fresh after using.",5 stars
Wery good,9th June 2021,A very good paste refreshes the scent and does not irritate the gums,5 stars
Amazed at the results,9th June 2021,Amazed at the results in such a short period of using. Teeth feel whiter and very clean.,5 stars
I loved!!!,9th June 2021,After a few days of testing my teeth are whiter and above all the gums do not bleeding.,5 stars
Colgate,29th May 2021,im happy customer been using colgate for years it works well on me,5 stars
The worst tasting toothpaste ever.,22nd May 2021,"This is literally the WORST tasting toothpaste that I have ever used. The toothpaste has a nice minty flavor that lasts for 2 seconds before the misery begins. All of a sudden, the toothpaste starts to taste like mint sprayed with pesticides. After I was done brushing the first time using it, I almost threw up, I was gagging for at least 5 minutes afterwards. I immediately disposed of the tube and have never used it since. For the love of god Colgate, why did you change the formula?",1 stars
Change in flavor is too much,17th May 2021,I just purchased a new double pack of Colgate Total clean mint paste. The taste is overwhelming and it is a little painful. I put a pea sized amount on my toothbrush. I can't imagine using an inch. I am not sure why the change is flavor butI guess I will be searching for different toothpaste.,2 stars
Fresh taste,13th May 2021,This toothpaste deliver what is promised. It has the perfect size to use at home or travelling elsewhere. This one helps to avoid tartar and keep the mouth fresh for longer periods. I recommend.,5 stars
colgate total,10th May 2021,tried this and really liked it left my mouth so fresh,5 stars
Great product,7th May 2021,Great product. Leaves mouth feeling clean and refreshed. Gentle on teeth and gums . You need a small amount. Lasts ages. Would definitely recommend. Trust in Colgate products.,5 stars
Fresh tasting no chalky aftertaste,16th April 2021,"This is only of the only toothpastes I actually like to use. It doesn't have that awful chalky taste that some do and leaves a really nice minty freshness to your mouth. It cleans my teeth really well, keeps my breath fresh and keeps stains away. Would recommend",5 stars
toothpaste,15th April 2021,i have tried this i didnt like the chalky ness of it had to wash my mouth out again,3 stars
Fresh breath,15th April 2021,"I always use Colgate toothpaste, I've recently started using the Total whitening, as expected, it performs well and leaves my mouth feeling fresh and minty.",5 stars
Colgate,13th April 2021,Excellent does what it says on the .leaves my mouth feeling very fresh and clean lasted a good while even though i used it twice a day nice taste far better than cheaper,4 stars
Great toothpaste,8th April 2021,I've used colgate my whole life and would thoroughly recommend. It's great for cleaning your teeth and leaving your mouth feeling fresh and clean. This one has a teeth whitener too.,5 stars
Very nice toothpaste,1st April 2021,"Really good toothpaste, nice taste and reasonable price. Would give it 5 stars if it would have more sustainable packaging.",4 stars
Recommended,31st March 2021,"Would definitely recommend this toothpaste, whole house use it and don't find it to minty. Leaves teeth feeling clean",5 stars
Recommended,31st March 2021,"Would definitely recommend this toothpaste, whole house use it and don't find it to minty. Leaves teeth feeling clean",5 stars
Great taste,28th March 2021,"This is one of my go to toothpastes and it does what it says on the bottle just love the taste and how fresh makes my mouth feel, a little does go a long way as I find some dont form up well but this certainly does anyone with sensitive gums and cheeks this does help over time.",5 stars
Fresh and clean,27th March 2021,"This tooth paste does what you expect a toothpaste to do, leaves you feeling fresh and clean. However I saw no change in the colour of my teeth after using this tooth paste.",4 stars
Really refreshing,27th March 2021,I would recommend this toothpaste as it really refreshing and makes my mouth feel so clean and has has a minty taste which I s as leats prefer in a toothpaste.,5 stars
Really refreshing,27th March 2021,I would recommend this toothpaste as it really refreshing and makes my mouth feel so clean and has has a minty taste which I s as leats prefer in a toothpaste.,5 stars
Fresh taste,26th March 2021,Personally original is best! It leaves a nice fresh taste in your mouth without leaving it to claggy,5 stars
Great taste,26th March 2021,"Very easy to use and makes your mouth feel so fresh and clean even time, my family all use this product and the protection you get is first class. It also tastes great.",5 stars
Great,24th March 2021,"If you looking for great and good value and quality toothpaste, this maybe is what you are looking for ! It has lovely refreshing taste, cleans really well. I like the consistency and that is gentle for my teeth and sensitive gums .I really reccomend it .",5 stars
Great,24th March 2021,"If you looking for great and good value and quality toothpaste, this maybe is what you are looking for ! It has lovely refreshing taste, cleans really well. I like the consistency and that is gentle for my teeth and sensitive gums .I really reccomend it .",5 stars
Fresh,23rd March 2021,Leaves your mouth nice clean and fresh. Small change in colour,5 stars
Fresh,23rd March 2021,Leaves your mouth nice clean and fresh. Small change in colour,5 stars
Best toothpaste,20th March 2021,I have been using Colgate for most of my life I have tried other but always go back the total version covers all your bases it does what it says,5 stars
My Go To,17th March 2021,"This is what we use all the time, our definite go to. Leaves your mouth feeling ultra fresh and clean. Love that it looks after gums, teeth, whitens and keeps your breath smelling lovely and minty",5 stars
My Go To,17th March 2021,"This is what we use all the time, our definite go to. Leaves your mouth feeling ultra fresh and clean. Love that it looks after gums, teeth, whitens and keeps your breath smelling lovely and minty",5 stars
My go to toothpaste,13th March 2021,This is the only toothpaste I will buy for my house everyone like the taste and it's always a good price,5 stars
My go to toothpaste,13th March 2021,This is the only toothpaste I will buy for my house everyone like the taste and it's always a good price,5 stars
The only toothpaste i use!,8th March 2021,"I love this toothpaste its the only toothpaste that i really get on with as it really foams up in the mouth so you know all your teeth are being cleaned properly. Ive used so many toothpastes that go all watery in your mouth and you don't feel as if your teeth are clean enough. The best toothpaste ever, i recommend this to everyone. All my family use it and they love it too.",5 stars
Colgate total toothpaste,8th March 2021,"Myself and my partner love this toothpaste. It is not sticky, gives an all around clean and leaves your mouth feeling fresh",5 stars
Colgate,4th March 2021,"Daily use ,I never have changed since I started to Colgate total gives me fresh breath and tastes nice",5 stars
Colgate,4th March 2021,"Daily use ,I never have changed since I started to Colgate total gives me fresh breath and tastes nice",5 stars
Colgate,4th March 2021,"Daily use ,I never have changed since I started to Colgate total gives me fresh breath and tastes nice",5 stars
Fresh and clean,1st March 2021,"It has nice flavour, leaves my teeth clean and fresh, and what is more important for me my gums are not bleeding when I use this Colgate.",5 stars
Great fresh feeling,27th February 2021,"I really like this Colgate total whitening toothpaste, I've used it for years. The taste isn't too strong and it leaves a pleasant taste and leave you with a fresh feeling. I've notice subtle whitening, I feel it maintains your teeth's white colour rather than fixes and whitens already discoloured teeth. Very happy with this product and will continue to use!",4 stars
Best Toothpaste for Adults,27th February 2021,"Colgate Total is the only toothpaste my husband will use as it provides overall protection. I may use a sensitive one at times, but will also rely on Total for complete care.",5 stars
Trusty for a reason,26th February 2021,"There's a reason I come back to Colgate every time I try a different toothpaste, this is simply just the best and most efficient, doesn't go frothy or feel bitty on your teeth, simple but effective, I'd definitely recommend",5 stars
Very good product,26th February 2021,Good toothpaste i cab see that my teeth are mor white so exactly wat i was expected from my toothpaste.,5 stars
Best toothpastes,25th February 2021,"This is bar far my favourite and only toothpaste I will use. Great taste, great results and all round great toothpaste",5 stars
Best toothpastes,25th February 2021,"This is bar far my favourite and only toothpaste I will use. Great taste, great results and all round great toothpaste",5 stars
Good,22nd February 2021,This is a good toothpaste. Doesn't whiten your teeth but at the price that doesn't matter. It's what I'd call a family toothpaste great for everyone.,4 stars
Excellent,20th February 2021,A great toothpaste with a good minty flavour lovely texture. Does the job well and leaves your mouth feeling clean and fresh. I love Total range by Colgate. Definitely recommend.,5 stars
The only brand I trust,19th February 2021,"Colgate, the only brand I trust. This taste's great, feels great and is great",5 stars
Good price,19th February 2021,"It's a good toothpaste for a good price. I already use several types of toothpaste, but I liked this particular toothpaste.",4 stars
Great toothpaste,18th February 2021,"Very good toothpaste for the value.. not as expensive as other whitening products - see a little different, but nothing major, happy with the product",4 stars
Excellent,16th February 2021,A great toothpaste with a good minty flavour lovely texture. Does the job well and leaves your mouth feeling clean and fresh. I love Total range by Colgate. Definitely recommend.,5 stars
Excellent,16th February 2021,A great toothpaste with a good minty flavour lovely texture. Does the job well and leaves your mouth feeling clean and fresh. I love Total range by Colgate. Definitely recommend.,5 stars
Minty fresh breath,13th February 2021,Colgate Total is a really nice tasting toothpaste. Minty taste but not too over powering. I love that it makes my teeth and mouth feel fresh all day and that it helps to prevent cavities and bad breath. I always look for something which can help with gum health and I have noticed that my gums seem much healthier since I moved to this brand / variety. Good price and good size at 100ml,5 stars
Won't use anything else,13th February 2021,"Brilliant, works for the whole family. Leaves my teeth feeling squeaky clean, with a beautifully minty flavour. Gives your mouth a very fresh feeling. Would recommend to anyone.",5 stars
This is my favourite,12th February 2021,This is my favourite toothpaste. It leaves my teeth feeling clean and fresh. The taste isn't too strong but minty fresh and leaves mouth feeling clean and smelling fresh for a long time. I like the whitening effect as well as protection for teeth.,5 stars
This is my favourite,12th February 2021,This is my favourite toothpaste. It leaves my teeth feeling clean and fresh. The taste isn't too strong but minty fresh and leaves mouth feeling clean and smelling fresh for a long time. I like the whitening effect as well as protection for teeth.,5 stars
This is my favourite,12th February 2021,This is my favourite toothpaste. It leaves my teeth feeling clean and fresh. The taste isn't too strong but minty fresh and leaves mouth feeling clean and smelling fresh for a long time. I like the whitening effect as well as protection for teeth.,5 stars
This is my favourite,12th February 2021,This is my favourite toothpaste. It leaves my teeth feeling clean and fresh. The taste isn't too strong but minty fresh and leaves mouth feeling clean and smelling fresh for a long time. I like the whitening effect as well as protection for teeth.,5 stars
Refreshing,12th February 2021,I always buy Colgate for my family as it helps protect my teeth and gums. The whitening toothpaste Is a very pleasant taste. I would recommend this to anyone to use for there everyday toothpaste.,5 stars
Love it,12th February 2021,"I like using Colgate toothpaste and this one, Colgate Total leaves my teeth feel clean and fresh. It keeps my mouth feeling good all-day. i would recommend to anyone.",5 stars
Niice,11th February 2021,I have seen an improvement in the whiteness of my teeth after a week of use. It left my teeth feeling refreshed and clean for long.,4 stars
Wow fresh,11th February 2021,Wow my mouth feels so fresh after brushing with this toothpaste. It's a little strong in flavour for my young lad but the rest of the family use it no problem.,4 stars
Wow fresh,11th February 2021,Wow my mouth feels so fresh after brushing with this toothpaste. It's a little strong in flavour for my young lad but the rest of the family use it no problem.,4 stars
Helped to reduce symptoms,23rd January 2021,"This product was excellent in helping to reduce my many tooth implications, such as bad breath, sensitivety and bleeding gums. I would highly recommend this product as a daily toothpaste must have!",5 stars
Leaves My Mouth All Fresh and Tingly,22nd January 2021,"I have been using this product for a long time now and it never disappoints. It leaves my mouth all fresh and tingly, my teeth always feel so clean. I would recommend this product.",5 stars
Perfect,10th January 2021,"I've used this product for a while, keeps my teeth clean and perfectly white. I will have to be convinced to change my regular paste",5 stars
Good All-rounder,7th January 2021,"You can't go wrong with this. I always pick this toothpaste up if I'm not trying to tackle a specific issue. It works well and is a safe bet. I had the one with the cap attached, but I have had some with a screw top before which can get messy!",4 stars
great taste,10th December 2020,i tried this toothepaste and im so glad i did great taste while using leaving my mouth feeling fresh and teeth seemed whiter after use.,4 stars
Colgate Total Original Toothpaste,5th December 2020,Colgate Total Original Toothpaste is great for sensitive teeth. I use these tubes when my family travel and the smaller tubes are better to travel on short trips.,5 stars
Colgate Total Original Toothpaste,5th December 2020,Colgate Total Original Toothpaste is great for sensitive teeth. I use these tubes when my family travel and the smaller tubes are better to travel on short trips.,5 stars
Colgate Total Original Toothpaste,5th December 2020,Colgate Total Original Toothpaste is great for sensitive teeth. I use these tubes when my family travel and the smaller tubes are better to travel on short trips.,5 stars
Nice taste,30th November 2020,Nice tastes leaves your mouth nice and fresh its 1 product that my kids love taste of and love using it,4 stars
Colgate Total,29th November 2020,This was the first time I had tried Colgate Total. It was very minty and my mouth felt clean and tingly after use.,4 stars
Totally clean,25th November 2020,Tried this toothpaste like it for cleaning and whitening my teeth could have abit more taste not minty enough for me,4 stars
Not too bad,24th November 2020,My partner and I enjoyed this this using this toothpaste. Not too strong and had a nice flavour. We noticed a slight difference but we wasn't expecting miracles. Would buy again,4 stars
Gentle Whitening formula,18th November 2020,Only need to use a small amount for cleaning. Due to personal preference I disliked the flavour However it was fresh and lasted. The texture had a very slight grainy feel but after rinsing it went away. After a few days I started to notice my teeth become less stained and my gums appeared healthier.,4 stars
Disappointing whitening levels,17th November 2020,"It has made only a very small difference to the shade of my teeth, which is pretty disappointing. However, it's still the same quality cleaning and freshness as Colgate always has",4 stars
Amazing clean feel,17th November 2020,"This toothpaste is great, my whole mouth feels clean and all i want to do is brush my teeth and get that feeling. Yet to see any whitening but hoping that starts soon.",4 stars
sparkly white teeth,17th November 2020,colgate total whitening leaves my teeth feeling all nice and clean and looking whiter. i also felt like my breath was fresher for longer and left a nice aftertaste,5 stars
Disappointing whitening levels,17th November 2020,"It has made only a very small difference to the shade of my teeth, which is pretty disappointing. However, it's still the same quality cleaning and freshness as Colgate always has",4 stars
colgate toothpaste,17th November 2020,"The packaging was great and eye catching. The toothpaste was minty tasting and made my mouth feel clean and refreahed after brushing. I really love this product, great for personal oral hygiene.",5 stars
colgate toothpaste,17th November 2020,"The packaging was great and eye catching. The toothpaste was minty tasting and made my mouth feel clean and refreahed after brushing. I really love this product, great for personal oral hygiene.",5 stars
colgate toothpaste,17th November 2020,"The packaging was great and eye catching. The toothpaste was minty tasting and made my mouth feel clean and refreahed after brushing. I really love this product, great for personal oral hygiene.",5 stars
Totally clean,17th November 2020,It felt pure and clean on my teeth without being too harsh,4 stars
Definitely recommend,17th November 2020,Would definitely recommend was a hit with all the family in the house and some are fussy with their toothpaste,4 stars
The best toothpaste I've tried so far,15th November 2020,Sometimes I good toothpaste means it is overpowering in flavour. I loved how Colgate left my mouth and teeth feeling fresh and clean without the harsh mint taste. My teeth felt squeaky clean all day. I also loved how it didn't foam up to much,5 stars
Another great product from Colgate,13th November 2020,Great smell and taste leaves my teeth looking bright and shiny. Confidence restored!,5 stars
Minty,13th November 2020,The paste is thicker so stays on toothbrush. It leaves a nice taste in your mouth.,4 stars
colgate toothpaste,13th November 2020,"it has a mild taste and cleans the whole mouth, keeps the mouth feeling very fresh",5 stars
Colgate Total Original,13th November 2020,Gor me are the best toothpaste Colgate Total Original,5 stars
Amazing product!,13th November 2020,It had a really great taste and made my whole mouth feel fresh! My teeth were so clean afterwards and I've been using it for a few days.,5 stars
Clean and fresh,13th November 2020,"Minty fresh, feels really squeaky clean after yse.",5 stars
Tingly and fresh,13th November 2020,Overall opinion is this toothpaste feels like a mouthwash too it made my mouth feel real tingly and clean all day,5 stars
Fresh breath,13th November 2020,"I had constant one week of cavity issue as soon as I eat anything sweet(NOTE:This is not a long term issue just faced it a month ago before trying colgate). I used Colgate total original toothpaste and I observe the result and I am happy with it. I am currently in UK but before that I was in other country and I was using ""Colgate maxfresh cooling crystal"". I cannot find the same product in UK but compared to that product I will give one point less as I have already used and find it better than Colgate Total Original. But overall I find Colgate total Original toothpaste good as it helps freshens breath, prevents bad smell and cavity prevention.",4 stars
